L,T,m_avg,m_err,chi,chi_err,e_avg,e_err,cv,cv_err
128,2.79999995e+00,2.66201823e-02,1.23790326e-04,2.32080717e+00,2.75400093e-02,-9.08242790e-01,1.18913148e-04,5.10545573e-01,5.57365811e-03
128,2.85000014e+00,2.46687500e-02,1.53184706e-04,1.98160331e+00,2.18933315e-02,-8.83111702e-01,9.82751381e-05,4.77753382e-01,6.95542403e-03
128,2.90000010e+00,2.33274333e-02,1.50705865e-04,1.73727650e+00,2.11824328e-02,-8.59740999e-01,1.33152603e-04,4.49510961e-01,6.18291301e-03
128,2.95000005e+00,2.24589030e-02,1.32735665e-04,1.59126052e+00,2.38001124e-02,-8.37988249e-01,1.81868322e-04,4.30563982e-01,4.49471478e-03
128,3.00000000e+00,2.11237305e-02,1.11913034e-04,1.41947627e+00,1.51639454e-02,-8.17599854e-01,1.30489396e-04,4.02490839e-01,5.12965281e-03
128,3.05000019e+00,2.04666911e-02,1.40696304e-04,1.27547221e+00,1.39197173e-02,-7.97852051e-01,1.08594467e-04,3.79623722e-01,4.36248700e-03
128,3.10000014e+00,1.96278402e-02,1.25716987e-04,1.15327825e+00,1.44561376e-02,-7.79248193e-01,9.30405563e-05,3.56933996e-01,3.52584905e-03
128,3.15000010e+00,1.89862142e-02,1.19367567e-04,1.06482838e+00,1.45277795e-02,-7.61926156e-01,9.62668822e-05,3.47386065e-01,4.46344566e-03
128,3.20000005e+00,1.81869141e-02,1.12519229e-04,9.57699109e-01,1.06064288e-02,-7.45099300e-01,1.15475618e-04,3.27084010e-01,3.12452541e-03
128,3.25000000e+00,1.76635498e-02,9.40972961e-05,9.15224498e-01,1.19452404e-02,-7.29247998e-01,1.44256757e-04,3.10309319e-01,3.13601575e-03
128,3.30000019e+00,1.70558431e-02,9.40644127e-05,8.34410425e-01,1.08931356e-02,-7.14158008e-01,1.41232084e-04,2.92571779e-01,1.83376308e-03
128,3.35000014e+00,1.66533447e-02,1.05853741e-04,7.56559124e-01,1.12768844e-02,-6.99880941e-01,1.20622589e-04,2.82434840e-01,4.02675522e-03
128,3.40000010e+00,1.60712809e-02,8.93485552e-05,7.04058792e-01,8.62250474e-03,-6.86028906e-01,9.89560948e-05,2.70500540e-01,2.60381342e-03
128,3.45000005e+00,1.57334147e-02,6.28643930e-05,6.83466411e-01,5.38309140e-03,-6.72676758e-01,7.52035664e-05,2.60200992e-01,3.10089576e-03
128,3.50000000e+00,1.53431803e-02,1.11560621e-04,6.40618694e-01,8.99082095e-03,-6.59964583e-01,1.05674558e-04,2.48040139e-01,2.73948521e-03
128,3.55000019e+00,1.51181641e-02,9.84461066e-05,6.03237197e-01,7.53111551e-03,-6.47943831e-01,1.00879590e-04,2.40411743e-01,2.12673020e-03
128,3.59999990e+00,1.46770345e-02,4.42392401e-05,5.60327278e-01,5.57862727e-03,-6.36405273e-01,1.34085599e-04,2.29651393e-01,2.16145964e-03
128,3.65000010e+00,1.46167643e-02,9.51435745e-05,5.40858839e-01,9.68972908e-03,-6.25287728e-01,9.71754573e-05,2.15557500e-01,1.70301246e-03
128,3.70000005e+00,1.42735921e-02,7.90475229e-05,5.13067352e-01,8.09154076e-03,-6.14229281e-01,1.00141324e-04,2.12909788e-01,2.21602631e-03
